"FILE","DB_NAME","DB_ID","INSTANCE","INST_NUM","STARTUP_TIME","RELEASE","RAC","HOST_NAME","PLATFORM","CPUS","CORES","SOCKETS","MEMORY (GB)","B_Y","B_MO","B_D","B_H","B_MI","B_S","E_Y","E_MO","E_D","E_H","E_MI","E_S","Snap Time","Load","%busy","%user","%sys","%idle","%iowait"
"db03bs1-20200217_080033-00036413-00036414.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","8","0","33","2020","2","17","9","0","3","17-Feb 08:00:33","2.76","","","","",""
"db03bs1-20200217_080033-00036413-00036414.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","8","0","33","2020","2","17","9","0","3","17-Feb 09:00:03","3.09","37.36","27.50","8.05","62.64","0.10"
"db03bs1-20200217_090003-00036414-00036415.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","9","0","3","2020","2","17","10","0","11","17-Feb 09:00:03","3.09","","","","",""
"db03bs1-20200217_090003-00036414-00036415.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","9","0","3","2020","2","17","10","0","11","17-Feb 10:00:11","2.11","28.66","19.64","7.25","71.34","0.12"
"db03bs1-20200217_100011-00036415-00036416.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","10","0","11","2020","2","17","11","0","18","17-Feb 10:00:11","2.11","","","","",""
"db03bs1-20200217_100011-00036415-00036416.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","10","0","11","2020","2","17","11","0","18","17-Feb 11:00:18","2.89","23.33","14.78","6.68","76.67","0.15"
"db03bs1-20200217_110018-00036416-00036417.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","11","0","18","2020","2","17","12","0","6","17-Feb 11:00:18","2.89","","","","",""
"db03bs1-20200217_110018-00036416-00036417.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","11","0","18","2020","2","17","12","0","6","17-Feb 12:00:06","2.32","26.73","17.26","7.72","73.27","0.14"
"db03bs1-20200217_120006-00036417-00036418.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","12","0","6","2020","2","17","13","0","14","17-Feb 12:00:06","2.32","","","","",""
"db03bs1-20200217_120006-00036417-00036418.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","12","0","6","2020","2","17","13","0","14","17-Feb 13:00:14","2.64","16.61","9.60","5.46","83.39","0.19"
"db03bs1-20200217_130014-00036418-00036419.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","13","0","14","2020","2","17","14","0","22","17-Feb 13:00:14","2.64","","","","",""
"db03bs1-20200217_130014-00036418-00036419.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","13","0","14","2020","2","17","14","0","22","17-Feb 14:00:22","2.86","22.69","14.46","6.44","77.31","0.16"
"db03bs1-20200217_140022-00036419-00036420.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","14","0","22","2020","2","17","15","0","30","17-Feb 14:00:22","2.86","","","","",""
"db03bs1-20200217_140022-00036419-00036420.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","14","0","22","2020","2","17","15","0","30","17-Feb 15:00:30","2.59","21.25","13.22","6.33","78.75","0.15"
"db03bs1-20200217_150030-00036420-00036421.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","15","0","30","2020","2","17","16","0","39","17-Feb 15:00:30","2.59","","","","",""
"db03bs1-20200217_150030-00036420-00036421.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","15","0","30","2020","2","17","16","0","39","17-Feb 16:00:39","2.23","25.12","16.16","7.06","74.88","0.13"
"db03bs1-20200217_160039-00036421-00036422.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","16","0","39","2020","2","17","17","0","4","17-Feb 16:00:39","2.23","","","","",""
"db03bs1-20200217_160039-00036421-00036422.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","16","0","39","2020","2","17","17","0","4","17-Feb 17:00:04","1.94","22.42","14.17","6.49","77.58","0.16"
"db03bs1-20200217_170004-00036422-00036423.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","17","0","4","2020","2","17","18","0","11","17-Feb 17:00:04","1.94","","","","",""
